Inumber,Course,Professor,Type,Class,StudentType,duration,Date,Status
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,43.43,2/7/2018 13:06,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,242.19,2/6/2018 9:51,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,60,2/3/2018 17:54,Attended
9298403,FDMAT112,Susan Marla Orme,OneToOne,Sophomore,OnCampus,60,1/26/2018 9:00,Cancelled
9298403,FDMAT112,Susan Marla Orme,OneToOne,Sophomore,OnCampus,60,1/24/2018 9:00,Cancelled
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,230.46,2/2/2018 10:12,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,76.21,2/1/2018 15:15,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,199.95,1/31/2018 10:33,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,2.02,1/30/2018 12:28,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,51.84,1/29/2018 13:10,Attended
Inumber,,,,,,,,
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,100.6,1/29/2018 11:12,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,76.67,1/26/2018 12:37,Attended
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,3/30/2018 17:00,Cancelled
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,3/27/2018 18:00,Cancelled
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,3/27/2018 17:00,Cancelled
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,103.06,1/19/2018 12:14,Attended
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,3/23/2018 17:00,Cancelled
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,3/20/2018 18:00,Cancelled
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,3/20/2018 17:00,Cancelled
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,154.96,1/18/2018 17:30,Attended
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,3/16/2018 17:00,Cancelled
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,3/13/2018 18:00,Cancelled
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,3/13/2018 17:00,Cancelled
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,116.91,1/16/2018 15:00,Attended
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,3/9/2018 17:00,Cancelled
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,3/6/2018 18:00,Cancelled
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,3/6/2018 17:00,Cancelled
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,158.99,1/15/2018 15:02,Attended
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,3/2/2018 17:00,Cancelled
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,2/27/2018 18:00,Cancelled
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,2/27/2018 17:00,Cancelled
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,71.13,1/12/2018 12:44,Attended
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,2/23/2018 17:00,Cancelled
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,272.4,1/11/2018 16:34,Attended
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,2/20/2018 18:00,Cancelled
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,20.31,1/10/2018 13:40,Attended
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,2/20/2018 17:00,Cancelled
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,60,1/9/2018 16:50,Attended
13064188,MATH 101,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,21.58,3/7/2018 8:55,Attended
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,2/16/2018 17:00,Cancelled
13064188,MATH 101,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,39.48,2/28/2018 8:56,Attended
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,2/13/2018 18:00,Cancelled
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,2/13/2018 17:00,Cancelled
13064188,MATH 101,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,36.2,2/26/2018 8:55,Attended
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,2/9/2018 17:00,Cancelled
13064188,MATH 101,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,5.95,2/7/2018 9:00,Attended
13064188,MATH 101,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,26.75,1/29/2018 8:58,Attended
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,2/6/2018 18:00,Cancelled
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,2/6/2018 17:00,Cancelled
13064188,MATH 101,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,13.08,1/24/2018 8:54,Attended
13064188,MATH 101,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,23.73,1/22/2018 8:57,Attended
9467684,MATH 330,Gregory L. Cameron,OneToOne,Junior,OnCampus,60,2/2/2018 17:00,Cancelled
